student_id,section,prep_course,study_hours,attendance,prev_gpa,final_score
U001,B,No,2.0,50,2.0,99.0
U002,B,Yes,10.5,73,4.0,85.9
U003,C,Yes,12.8,100,3.26,92.7
U004,C,No,17.3,100,3.62,100.0
U005,C,No,9.1,91,2.95,83.4
U006,A,Yes,14.8,100,2.24,95.1
U007,A,No,15.0,86,3.72,99.3
U008,C,No,10.7,78,3.34,86.2
U009,C,Yes,6.6,96,3.32,91.4
U010,A,No,10.5,61,3.13,79.8
U011,B,No,5.5,74,3.23,67.8
U012,A,Yes,9.5,81,3.31,92.5
U013,A,Yes,7.5,58,1.96,69.9
U014,A,Yes,12.3,91,4.0,94.0
U015,C,Yes,10.5,91,3.56,100.0
U016,B,No,4.0,79,2.61,65.7
U017,A,Yes,11.4,80,3.04,91.9
U018,B,No,12.8,73,2.07,72.0
U019,A,Yes,3.8,82,3.02,70.2
U020,A,No,12.5,76,3.24,88.3
U021,A,No,3.4,91,3.67,77.2
U022,B,Yes,8.1,80,3.03,71.7
U023,B,No,9.7,93,2.88,90.9
U024,C,Yes,10.6,50,2.82,80.6
U025,A,Yes,9.6,67,3.02,85.6
U026,B,Yes,13.9,80,2.83,91.7
U027,A,No,12.5,100,3.35,100.0
U028,B,No,10.4,66,3.2,73.2
U029,C,No,11.7,100,3.14,91.1
U030,C,Yes,6.7,87,3.09,83.5
U031,C,No,9.9,98,4.0,88.9
U032,C,No,9.0,76,2.35,86.6
U033,A,No,14.2,88,3.61,100.0
U034,B,No,9.3,83,2.24,72.4
U035,C,Yes,12.1,76,4.0,97.9
U036,C,Yes,8.8,77,2.76,93.0
U037,B,No,6.0,82,3.0,75.7
U038,C,No,11.5,88,3.16,88.2
U039,C,No,11.6,87,3.34,96.7
U040,B,No,9.2,71,2.4,71.2
U041,B,Yes,2.3,87,4.0,69.2
U042,A,No,7.0,81,2.93,75.3
U043,C,Yes,13.9,61,3.3,97.3
U044,B,Yes,12.4,99,4.0,100.0
U045,B,Yes,12.2,86,2.55,89.1
U046,B,No,11.8,87,3.79,81.4
U047,A,No,10.3,91,4.0,88.1
U048,C,No,10.6,80,3.38,90.6
U049,B,Yes,13.9,72,2.74,81.3
U050,C,No,7.1,83,4.0,91.8
U051,A,Yes,13.9,77,3.82,95.9
U052,C,No,11.7,91,2.77,87.0
U053,A,Yes,6.8,74,3.05,77.2
U054,A,Yes,10.7,94,3.6,90.6
U055,C,No,11.5,64,3.42,83.4
U056,C,Yes,9.8,89,2.67,100.0
U057,C,Yes,8.1,82,2.9,88.8
U058,C,No,6.0,91,3.79,88.4
U059,C,No,6.8,92,3.45,81.5
U060,B,Yes,8.9,81,1.72,69.8
U061,B,No,7.3,90,4.0,74.2
U062,A,No,13.3,85,3.24,90.1
U063,B,No,10.5,100,2.88,87.0
U064,A,No,5.1,77,2.99,77.2
U065,B,No,11.5,81,3.47,76.7
U066,B,Yes,11.0,90,2.56,73.9
U067,A,No,10.4,93,3.03,90.7
U068,B,No,11.3,69,3.58,78.2
U069,C,No,12.3,64,3.6,92.7
U070,B,No,12.2,97,2.68,88.5
U071,A,Yes,12.8,76,3.2,99.1
U072,A,Yes,12.5,75,3.54,93.4
U073,A,Yes,12.2,80,2.95,92.3
U074,C,No,11.5,72,4.0,88.6
U075,C,Yes,8.9,70,3.77,86.2
U076,B,Yes,11.1,90,2.61,84.3
U077,C,No,11.0,76,2.86,78.5
U078,C,Yes,5.5,82,2.54,69.5
U079,A,Yes,7.0,66,3.2,76.2
U080,C,Yes,5.6,77,3.18,86.4
U081,B,No,7.7,88,3.11,78.0
U082,B,Yes,12.3,66,3.11,93.3
U083,B,No,10.8,79,3.21,78.5
U084,C,Yes,7.5,80,2.36,82.6
U085,A,No,9.9,90,4.0,95.1
U086,C,No,9.9,83,2.71,89.9
U087,A,No,8.7,73,3.26,75.1
U088,C,No,7.6,95,2.28,80.4
U089,A,No,9.4,76,3.5,83.1
U090,A,Yes,11.6,63,2.8,81.5
U091,A,No,10.1,82,3.07,82.1
U092,C,No,11.7,78,3.52,89.7
U093,B,Yes,14.8,87,2.95,90.5
U094,B,No,12.6,80,3.73,88.4
U095,C,Yes,12.9,86,3.53,100.0
U096,A,Yes,8.1,63,3.53,85.9
U097,C,Yes,14.9,77,3.33,100.0
U098,B,No,10.1,86,3.9,86.4
U099,A,No,10.9,74,2.82,82.5
U100,A,No,2.9,93,3.61,69.8
U101,A,No,8.0,64,2.16,71.2
U102,A,Yes,10.5,85,3.92,100.0
U103,C,No,7.4,78,3.62,78.6
U104,C,Yes,8.8,76,2.48,84.7
U105,B,Yes,8.3,86,3.21,89.3
U106,A,No,14.5,79,3.48,100.0
U107,B,No,8.6,78,3.31,79.7
U108,B,No,7.1,98,2.84,85.5
U109,B,Yes,11.2,100,2.97,89.4
U110,A,No,7.3,72,3.52,73.6
U111,A,No,13.2,80,2.9,93.9
U112,B,Yes,7.0,70,3.12,77.3
U113,C,No,10.7,68,3.44,87.7
U114,B,No,7.6,89,2.61,66.3
U115,B,Yes,10.5,82,2.82,86.3
U116,C,Yes,12.7,90,1.7,97.1
U117,B,No,8.6,72,2.5,61.9
U118,B,No,14.4,92,1.73,86.7
U119,C,No,14.5,82,3.28,97.5
U120,A,No,9.7,70,3.76,87.7
